Timestep    Total   Potential   Kinetic
226: -623.3910273381783 -638.9672834525546 15.576256114376282
227: -623.3910308087422 -639.0216838351122 15.63065302636999
228: -623.3910343269844 -639.0785545486156 15.687520221631228
229: -623.39103789019 -639.1378398083476 15.746801918157669
230: -623.3910414956309 -639.1994830974332 15.808441601802311
231: -623.3910451405744 -639.263427209642 15.872382069067655
232: -623.3910488222774 -639.3296142923256 15.938565470048191
233: -623.3910525379985 -639.3979858894744 16.006933351475883
234: -623.3910562849945 -639.468482984819 16.077426699824528
235: -623.3910600605246 -639.5410460449536 16.149985984428962
236: -623.3910638618556 -639.6156150624319 16.22455120057619
237: -623.3910676862622 -639.6921295987883 16.3010619125261
238: -623.3910715310294 -639.7705288274495 16.379457296420174
239: -623.391075393457 -639.8507515764946 16.459676183037697
240: -623.3910792708606 -639.9327363712202 16.541657100359643
241: -623.3910831605737 -640.0164214764752 16.62533831590151
242: -623.3910870599525 -640.1017449387297 16.710657878777113
243: -623.3910909663757 -640.1886446278326 16.797553661456806
244: -623.3910948772468 -640.2770582784311 16.88596340118429
245: -623.3910987899983 -640.3669235310155 16.97582474101714
246: -623.3911027020919 -640.4581779725498 17.067075270457952
247: -623.3911066110213 -640.5507591766645 17.15965256564319
248: -623.3911105143145 -640.6446047433733 17.253494229058823
249: -623.3911144095333 -640.7396523382857 17.34853792875244
250: -623.391118294279 -640.8358397312919 17.44472143701301
251: -623.3911221661907 -640.9331048346812 17.541982668490526
252: -623.3911260229488 -641.0313857406779 17.64025971772916
253: -623.3911298622751 -641.1306207583632 17.73949089608811
254: -623.3911336819355 -641.2307484499623 17.83961476802687
255: -623.3911374797414 -641.3317076664727 17.94057018673125
256: -623.3911412535497 -641.4334375826086 18.042296329058907
257: -623.3911450012653 -641.535877731049 18.14473272978379
258: -623.391148720841 -641.6389680359615 18.247819315120477
259: -623.3911524102798 -641.7426488457899 18.35149643551003
260: -623.391156067635 -641.8468609652858 18.455704897650733
261: -623.3911596910119 -641.95154568677 18.56038599575815
262: -623.3911632785671 -642.056644820607 18.665481542039817
263: -623.391166828512 -642.1621007248833 18.770933896371307
264: -623.3911703391086 -642.2678563342704 18.876685995161797
265: -623.3911738086766 -642.3738551880741 18.982681379397512
266: -623.3911772355883 -642.4800414574421 19.08886422185374
